file_name,sex,age
2467122.female.23.Student.Taurus.xml,female,23
108780.female.25.indUnk.Leo.xml,female,25
3403305.male.14.Student.Aquarius.xml,male,14
4312256.female.16.indUnk.Taurus.xml,female,16
3993538.male.17.Student.Pisces.xml,male,17
1605613.female.23.Student.Leo.xml,female,23
2958390.male.25.Engineering.Capricorn.xml,male,25
3869859.female.25.Education.Gemini.xml,female,25
4251420.male.16.indUnk.Pisces.xml,male,16
3692866.female.23.Biotech.Aquarius.xml,female,23
3481376.male.34.indUnk.Aries.xml,male,34
4043093.female.17.Fashion.Capricorn.xml,female,17
3519476.male.17.Student.Scorpio.xml,male,17
2099552.male.37.Marketing.Gemini.xml,male,37
3356780.male.34.Religion.Virgo.xml,male,34
4094935.male.34.indUnk.Pisces.xml,male,34
3679764.male.36.indUnk.Libra.xml,male,36
3849298.female.48.indUnk.Gemini.xml,female,48
3825027.male.14.Student.Leo.xml,male,14
3310037.male.23.Publishing.Cancer.xml,male,23
3853244.female.24.Education.Scorpio.xml,female,24
3368227.male.25.Non-Profit.Sagittarius.xml,male,25
3424740.female.40.indUnk.Sagittarius.xml,female,40
1904312.male.17.indUnk.Scorpio.xml,male,17
3359703.male.23.Student.Aquarius.xml,male,23
3771098.female.14.Student.Libra.xml,female,14
4116820.male.16.Student.Gemini.xml,male,16
3568685.male.16.Student.Cancer.xml,male,16
3498595.male.16.indUnk.Capricorn.xml,male,16
3630553.female.17.Student.Scorpio.xml,female,17
3741229.female.24.RealEstate.Capricorn.xml,female,24
3318771.male.17.Student.Aries.xml,male,17
3382977.male.15.Student.Taurus.xml,male,15
3743863.male.35.Transportation.Pisces.xml,male,35
2680773.male.24.Communications-Media.Gemini.xml,male,24
3842628.male.23.indUnk.Sagittarius.xml,male,23
3574262.female.17.indUnk.Libra.xml,female,17
3709080.male.25.indUnk.Gemini.xml,male,25
3375901.female.26.indUnk.Leo.xml,female,26
3708870.female.14.Student.Libra.xml,female,14
3508884.male.33.Transportation.Virgo.xml,male,33
3962715.female.16.Education.Leo.xml,female,16
4131693.male.14.indUnk.Aries.xml,male,14
3481855.male.17.Student.Gemini.xml,male,17
3418125.male.14.Internet.Cancer.xml,male,14
3711843.male.17.indUnk.Virgo.xml,male,17
4214747.male.23.indUnk.Taurus.xml,male,23
3995970.male.37.indUnk.Leo.xml,male,37
1226756.male.23.Technology.Leo.xml,male,23
3704141.female.26.indUnk.Capricorn.xml,female,26
3490604.female.14.Student.Cancer.xml,female,14
3345912.female.15.indUnk.Aries.xml,female,15
4138873.female.24.Internet.Virgo.xml,female,24
4007765.female.23.Non-Profit.Scorpio.xml,female,23
3658729.male.26.indUnk.Leo.xml,male,26
3944030.male.13.Student.Gemini.xml,male,13
3182829.female.23.indUnk.Cancer.xml,female,23
792439.male.26.Student.Aquarius.xml,male,26
4179294.female.27.Government.Cancer.xml,female,27
3428283.male.23.Student.Taurus.xml,male,23
1856131.male.24.indUnk.Gemini.xml,male,24
