author,book,special,directory
Annie Roe Carr,24683,False,/home/isaac/Documents/Github/Author-identification/gutenberg/2/4/6/8/24683/24683.txt
Annie Roe Carr,2691,False,/home/isaac/Documents/Github/Author-identification/gutenberg/2/6/9/2691/2691.txt
Annie Roe Carr,36202,False,/home/isaac/Documents/Github/Author-identification/gutenberg/3/6/2/0/36202/36202.txt
Annie Roe Carr,12610,False,/home/isaac/Documents/Github/Author-identification/gutenberg/1/2/6/1/12610/12610.txt
Annie Roe Carr,36176,False,/home/isaac/Documents/Github/Author-identification/gutenberg/3/6/1/7/36176/36176.txt
Annie Roe Carr,6439,False,/home/isaac/Documents/Github/Author-identification/gutenberg/6/4/3/6439/6439.txt
Ross Kay,30950,False,/home/isaac/Documents/Github/Author-identification/gutenberg/3/0/9/5/30950/30950.txt
Ross Kay,35964,False,/home/isaac/Documents/Github/Author-identification/gutenberg/3/5/9/6/35964/35964.txt
Ross Kay,562,False,/home/isaac/Documents/Github/Author-identification/gutenberg/5/6/562/562.txt
Ross Kay,35957,False,/home/isaac/Documents/Github/Author-identification/gutenberg/3/5/9/5/35957/35957.txt
Ross Kay,35483,False,/home/isaac/Documents/Github/Author-identification/gutenberg/3/5/4/8/35483/35483.txt
Ross Kay,20995,False,/home/isaac/Documents/Github/Author-identification/gutenberg/2/0/9/9/20995/20995.txt
Petronius Arbiter,5224,False,/home/isaac/Documents/Github/Author-identification/gutenberg/5/2/2/5224/5224.txt
Petronius Arbiter,5218,False,/home/isaac/Documents/Github/Author-identification/gutenberg/5/2/1/5218/5218.txt
Petronius Arbiter,5222,False,/home/isaac/Documents/Github/Author-identification/gutenberg/5/2/2/5222/5222.txt
Petronius Arbiter,5223,False,/home/isaac/Documents/Github/Author-identification/gutenberg/5/2/2/5223/5223.txt
Petronius Arbiter,5225,False,/home/isaac/Documents/Github/Author-identification/gutenberg/5/2/2/5225/5225.txt
Petronius Arbiter,5611,False,/home/isaac/Documents/Github/Author-identification/gutenberg/5/6/1/5611/5611-0.txt
Florence Nightingale,17366,False,/home/isaac/Documents/Github/Author-identification/gutenberg/1/7/3/6/17366/17366.txt
Florence Nightingale,49833,False,/home/isaac/Documents/Github/Author-identification/gutenberg/4/9/8/3/49833/49833-0.txt
Florence Nightingale,52653,False,/home/isaac/Documents/Github/Author-identification/gutenberg/5/2/6/5/52653/52653-0.txt
Florence Nightingale,52877,False,/home/isaac/Documents/Github/Author-identification/gutenberg/5/2/8/7/52877/52877-0.txt
